raw_monitoring_site,site_name,major_category,advisory_waterbody,mapping_status,notes
Polo_Lake,Polo Lake,Category_1,Polo Lake - Roger Williams Park,included,
Willow_Lake,Willow Lake,Category_1,Willow Lake - Roger Williams Park,included,
Roosevelt_Lake,Roosevelt Lake,Category_1,Roosevelt Lake - Roger Williams Park,included,
Pleasure_Lake,Pleasure Lake,Category_1,Pleasure Lake - Roger Williams Park,included,
Edgewood_Lake,Edgewood Lake,Category_1,Edgewood Lake - Roger Williams Park,included,
Cunliff_Lake,Cunliff Lake,Category_1,Cunliff Lake - Roger Williams Park,included,
Deep_Spring_Lake,Deep Spring Lake,Category_1,Deep Spring Lake - Roger Williams Park,included,
Elm_Lake,Elm Lake,Category_1,Elm Lake - Roger Williams Park,included,
Spectacle_Pond,Spectacle Pond,Category_2,Spectacle Pond,included,
Mashapaug_Pond,Mashapaug Pond,Category_2,Mashapaug Pond,included,
